name,domain
Institute and Faculty of Actuaries,https://www.actuaries.org.uk/
,
Markkula Center for Applied Ethics,https://www.scu.edu/
European Parliament,http://www.europarl.europa.eu
UNDP,http://www.undp.org
AISpeech,http://www.aispeech.com
Partnership on AI,https://www.partnershiponai.org
ACT-IAC,https://www.actiac.org
CNRS University,http://www.cnrs.fr
Carnegie Mellon University,https://www.cmu.edu
Adobe,http://www.adobe.com
Linux Foundation,http://www.linuxfoundation.org
U.S. Government Accountability Office,http://gao.gov
The World Economic Forum,https://www.weforum.org/
Open Roboethics Institute,http://www.openroboethics.org/
IDEO,http://www.ideo.com
CSIRO,http://www.csiro.au
Fujitsu,http://www.fujitsu.com
AI Ethics Lab,http://aiethicslab.com
Palo Alto Research Center (PARC),http://www.parc.com
IBM,http://www.ibm.com/
Microsoft,http://www.microsoft.com
ISO,https://www.iso.org/home.html
SmartDubai,http://www.smartdubai.ae/
Google,https://www.google.com
Chatterbox Labs,http://www.chatterbox.co
MuckRock,http://www.muckrock.com
Open Government Partnership,http://www.opengovpartnership.org
AI Now Institute,https://ainowinstitute.org/
Accenture,https://www.accenture.com/in-en
The University of Chicago Booth School of Business,http://www.chicagobooth.edu/
American Civil Liberties Union,http://www.aclu.org
Data Society,https://datasociety.com
Government of Canada,http://canada.gc.ca
London School of Economics and Political Science,http://www.lse.ac.uk/
Seldon,https://www.seldon.io
Allen Institute for Artificial Intelligence,http://allenai.org/
European Commission,https://ec.europa.eu/commission/index_en
The Markup,https://themarkup.org/
Amazon,http://amazon.com
Appium,http://appium.io/
Arthur AI,https://www.arthur.ai
NetHope,http://nethope.org/
U.S. Food and Drug Administration,http://www.fda.gov
NIST,http://www.nist.gov/
Electronic Frontier Foundation,http://eff.org
Massachusetts Institute of Technology,http://web.mit.edu
BABL AI,https://babl.ai
OECD,http://www.oecd.org/
The Foundation for Best Practices in Machine Learning,https://www.fbpml.org/
DeepTrust Alliance,https://www.deeptrustalliance.org/
Bloomberg Law,http://bloomberglaw.com
bnh.ai,https://www.bnh.ai/
International Association of Privacy Professionals,https://iapp.org
Bunkerhill Health,http://www.bunkerhillhealth.com/
Calypso AI,https://www.calypsoai.com
University of Oxford,http://ox.ac.uk/
Censius,https://censius.ai/
GitHub,https://github.com
U.S. Census Bureau,http://www.census.gov/mobile
Queensland Government,http://www.qld.gov.au/
ProPublica,http://propublica.org
Compliance.ai,https://www.compliance.ai/
BSA,http://www.bsa.org/
DeepAI,https://deepai.org
Doteveryone,https://doteveryone.org.uk
"Ministry of Economy, Trade, and Industry",http://www.meti.go.jp/english
CognitiveScale,http://www.cognitivescale.com
Credo AI,https://www.credo.ai/
Rita Allen Foundation,http://ritaallen.org/
Utrecht University,http://www.uu.nl
Cardiff University,http://www.cardiff.ac.uk/
Databricks,https://databricks.com
DataRobot,http://datarobot.com
Center for Democracy and Technology,http://www.cdt.org
University of California Berkeley,http://www.berkeley.edu/
Dedoose,http://www.dedoose.com
Deloitte Consulting,https://www2.deloitte.com/us/en/services/consulting.html
Driven Data,https://www.driven-data.com
<​Design Ethically>,http://www.designethically.com
CIGREF,https://www.cigref.fr
Stanford Center on Philanthropy and Civil Society (Stanford PACS),http://pacscenter.stanford.edu
